,value
label,Crypto Trend/Momentum
period_years,4.3
cagr_port,-0.1012768145646159
cagr_bench,0.28043842098396166
vol_port,0.49487054838305994
vol_bench,0.39346896081181537
sharpe,-0.20465314595004244
sortino,-0.2831488918840758
max_drawdown,-0.6112282890698256
max_dd_duration_days,732
hit_rate_weekly,0.4075091575091575
profit_factor,1.0059293349638103
beta,0.7372029534508603
alpha,-0.3080168467750881
info_ratio,-0.92187127174367
avg_turnover_per_rebal,0.8333333333333333
total_return_port,-0.37149365088773734
total_return_bench,1.9303880007294567
time_in_market,0.7909090909090909
