,value
label,Equity Multi-Factor
period_years,2.8
cagr_port,0.24294256820669458
cagr_bench,0.17571600369405438
vol_port,0.18943720531788377
vol_bench,0.15053924666694202
sharpe,1.2824437934408213
sortino,1.7414765287875325
max_drawdown,-0.2199966923463118
max_dd_duration_days,179
hit_rate_weekly,0.603448275862069
profit_factor,1.2369579469379142
beta,0.9014647995106099
alpha,0.08454077616582825
info_ratio,0.5054427159673374
avg_turnover_per_rebal,0.46571428571428575
total_return_port,0.8296333210882474
total_return_bench,0.5677778604540922
time_in_market,1.0
