ticker,price,mkt_cap_m,short_pct,vol_ratio,squeeze_score,volume_score,vol_compress,options_score,technical_score,social_score,polymarket_score,composite,n_flags
BBAI,3.9600000381469727,1885.184,0.2824,0.9477579094248948,2,2,5,5,2,0,0,35.6,9
LUNR,18.899999618530273,2689.674496,0.22209999,0.9352022140873275,2,2,3,3,6,0,0,35.6,8
SOUN,7.820000171661377,3306.407168,0.32959998,1.1160454518202199,3,2,1,5,4,0,0,33.3,9
MARA,9.239999771118164,3513.367808,0.3858,0.9542831715149309,2,2,1,4,5,0,0,31.1,10
RIVN,15.819999694824219,19632.457728,0.132,1.0275943889092638,2,3,3,2,4,0,0,31.1,9
PATH,11.979999542236328,6406.301184,0.2746,1.4705106898570277,2,3,1,5,3,0,0,31.1,9
GME,23.59000015258789,10568.543232,0.1604,1.028825769342728,2,1,3,5,3,0,0,31.1,9
MRNA,53.93000030517578,21299.083264,0.2157,0.690661379273474,3,2,1,4,4,0,0,31.1,8
LCID,10.319999694824219,3381.701376,0.42540002,0.9541965230659987,4,2,3,2,2,0,0,28.9,6
RKLB,78.58999633789062,44595.535872,0.0387,1.0777771080294474,0,4,5,2,2,0,0,28.9,6
SKLZ,3.2799999713897705,50.202676,0.16790001,0.9469583927689257,4,1,3,3,2,0,0,28.9,8
NVAX,10.640000343322754,1733.638528,0.31370002,0.7925931747457734,4,3,0,3,2,0,0,26.7,7
AI,8.8100004196167,1280.015616,0.3319,0.6353810388555977,3,2,0,5,2,0,0,26.7,9
NIO,5.960000038146973,15070.809088,0.0769,1.2164344919477024,0,4,0,4,4,0,0,26.7,7
SAVA,1.9500000476837158,114.9728,0.1489,1.6255784336103998,4,1,0,5,2,0,0,26.7,8
RGTI,16.219999313354492,5387.4816,0.1354,0.8754268875155768,1,2,4,3,2,0,0,26.7,7
ASTS,95.69999694824219,36560.023552,0.18360001,0.8111887567295235,1,2,4,3,2,0,0,26.7,7
QUBT,7.539999961853027,1693.018496,0.2834,0.850592348451767,3,1,5,0,2,0,0,24.4,6
SMCI,31.510000228881836,18921.18528,0.1895,0.8495729736493484,1,0,3,4,3,0,0,24.4,7
HOOD,77.3499984741211,69638.856704,0.0387,0.9018022568492895,0,2,3,3,2,0,0,22.2,5
PLTR,155.0800018310547,370901.057536,0.0238,0.7749757213567006,0,2,1,2,5,0,0,22.2,7
BBBY,4.949999809265137,341.595712,0.0,0.9053910836295225,0,0,3,3,4,0,0,22.2,6
DDOG,128.8699951171875,45600.817152,0.033299997,0.6694174658982556,0,4,0,1,5,0,0,22.2,7
TSLA,399.2699890136719,1498233.438208,0.0185,0.9843420792841797,0,1,5,2,2,0,0,22.2,5
AMZN,215.1999969482422,2310155.010048,0.0084,0.8445059293890401,0,3,2,3,2,0,0,22.2,6
COIN,210.22999572753906,56690.11456,0.1201,0.8288200660260325,1,2,0,2,4,0,0,20.0,6
AMD,196.30999755859375,320065.961984,0.021300001,0.7525195367923376,0,0,4,2,3,0,0,20.0,5
SNOW,174.60000610351562,59748.122624,0.0431,0.591830104667446,0,3,1,2,3,0,0,20.0,6
SHOP,127.80000305175781,166789.69344,0.0134000005,0.566782846963845,0,2,1,2,4,0,0,20.0,6
RIOT,14.680000305175781,5565.567488,0.1341,0.9173032616642516,1,0,2,3,3,0,0,20.0,6
BB,3.3299999237060547,1965.191168,0.0436,1.209543238008921,1,1,2,3,2,0,0,20.0,6
ATOS,5.489999771118164,47.276744,0.047399998,0.9118082831544131,1,3,1,1,3,0,0,20.0,7
CRWD,433.20001220703125,109865.631744,0.0287,0.5390786698923669,0,4,0,0,5,0,0,20.0,6
ROKU,96.30000305175781,14197.295104,0.0747,0.7430395858321455,0,3,0,1,5,0,0,20.0,7
