ticker,price,ema_fast,ema_slow,ema_trend,trend_score,momentum_score,rsi,realized_vol_ann,vol_regime,raw_signal,adjusted_signal,action,rank
NEAR-USD,1.344071626663208,1.249126185160001,1.265231158169593,1.7607344951198074,0.3333333333333333,0.057499323296787135,60.336615585668234,0.885965531534582,HIGH,0.36958231827851407,0.18479115913925703,HOLD,1
AVAX-USD,9.781118392944336,9.398198936093154,9.934081415669878,14.652834172341848,-0.3333333333333333,0.017552464691455407,56.72681671829564,0.5689724385956664,NORMAL,-0.1820046362961502,-0.1820046362961502,REDUCE,2
BTC-USD,71710.4609375,69584.0347298961,72735.17350328904,88053.70678536283,-0.3333333333333333,0.012764277296065905,55.21242161471695,0.40506221807340403,NORMAL,-0.1891869173892345,-0.1891869173892345,REDUCE,3
BNB-USD,661.866943359375,643.2031255564003,681.8912207892515,796.5822216788755,-0.3333333333333333,0.008954483466942977,55.06895018307147,0.378275081972754,NORMAL,-0.19490160813291885,-0.19490160813291885,REDUCE,4
ETH-USD,2107.66845703125,2046.3159783181468,2205.2415485760175,2834.5306894714367,-0.3333333333333333,0.0005410957823252585,53.494481946272636,0.5376807967525902,NORMAL,-0.20752168965984547,-0.20752168965984547,REDUCE,5
LINK-USD,9.20466423034668,8.994968309790647,9.588840705407677,13.127610662652586,-0.3333333333333333,-0.006518737597941877,52.80436426160689,0.5516184210202574,NORMAL,-0.21811143973024616,-0.21811143973024616,REDUCE,6
LTC-USD,55.220672607421875,54.75743914099415,58.231615530801605,77.17301390746971,-0.3333333333333333,-0.011342076335899145,50.165084909331526,0.44115809074953727,NORMAL,-0.22534644783718205,-0.22534644783718205,REDUCE,7
SOL-USD,88.55217742919922,86.70537895095097,94.02995416790068,131.23974900934755,-0.3333333333333333,-0.013227390798856632,51.77138822621947,0.5446102313201113,NORMAL,-0.22817441953161827,-0.22817441953161827,REDUCE,8
XRP-USD,1.4192578792572021,1.4004670625256743,1.505848448640505,1.9797736213253838,-0.3333333333333333,-0.0207578912455308,50.45122969178748,0.42546569801763023,NORMAL,-0.23947017020162953,-0.23947017020162953,REDUCE,9
INJ-USD,3.080181837081909,3.0776285912020085,3.444526133120559,6.259178944863061,-0.3333333333333333,-0.028245124167199022,47.70046497334401,0.6773269066796923,NORMAL,-0.2507010195841319,-0.2507010195841319,REDUCE,10
DOT-USD,1.420825481414795,1.474521440630428,1.5513400495976886,2.3467240036445176,-1.0,-0.06965148612489241,44.53186091896013,0.9909730924351802,HIGH,-0.5794772291873386,-0.2897386145936693,REDUCE,11
ARB-USD,0.0008992253569886088,0.0008992830347884872,0.0009138833902261682,0.0010198795044410731,-1.0,0.0002507008552188328,14.497278217549947,0.0007265090442989047,NORMAL,-0.32462394871717176,-0.32462394871717176,SELL / NO POSITION,12
ATOM-USD,1.8545504808425903,1.8835513793766205,2.0019536558648388,2.693986006800942,-1.0,-0.027453013648349744,44.744707978855246,0.4767430596612707,NORMAL,-0.5161795204725246,-0.5161795204725246,SELL / NO POSITION,13
ADA-USD,0.26465904712677,0.26774053349834165,0.29011245030746446,0.44781348017964234,-1.0,-0.051510844568565556,46.215784233391126,0.6301352384555432,NORMAL,-0.5522662668528483,-0.5522662668528483,SELL / NO POSITION,14
OP-USD,0.1273937076330185,0.13023285583116895,0.16935023142080335,0.3548353973992616,-1.0,-0.09614565920963888,39.74852752946965,0.7415443100786553,NORMAL,-0.6192184888144583,-0.6192184888144583,SELL / NO POSITION,15
FIL-USD,0.889597475528717,0.935460745402227,1.0268620814850982,1.5383048744020478,-1.0,-0.11570356945076389,40.87575232606627,0.7473835990119098,NORMAL,-0.6485553541761458,-0.6485553541761458,SELL / NO POSITION,16
